SciKG PDF vocabulary v3 - GROUNDED + FILTERED (378 papers)
Derived from the raw vocabulary by OMITTING junk terms. Nothing is
altered: every surviving string still appears verbatim in a source PDF
at its recorded char_span. The raw file remains the evidence record.
Stopword list: vocab_stopwords.csv (extend it as needed).
Junk = stopword match, <2 chars, or numeric/punctuation only.

=== instrument (737 distinct) ===
  x1  7 T APEX Qe FT-ICR mass spectrometer
  x1  7 T FTICR mass spectrometer (Bruker Corp., Billerica, MA)
  x1  9.4 and 14.5 T instruments
  x1  9.4 FT-ICR mass spectrometer
  x1  9.4 T custom-built FT-ICR mass spectrometer
  x1  9.4 T Fourier Transform Ion Cyclotron Resonance Mass Spectrometer
  x1  9.4 T Fourier transform ion cyclotron resonance mass spectrometer
  x1  9.4 T Fourier transform ion cyclotron resonance mass spectrometer (FT-ICR MS)
  x1  9.4 T FT-ICR
  x1  9.4 T FT-ICR Mass Spectrometer
  x1  9.4 T FTICR Mass Spectrometer
  x1  9.4 T FTICR MS
  x1  9.4 T instrument
  x1  9.4 T superconducting magnet FT-ICR mass spectrometer
  x1  9.4 tesla
  x1  9.4 Tesla FT-ICR MS
  x1  9.4-T ESI-FT-ICRMS
  x1  9.4-T instrument
  x1  9.4-tesla FT-ICR MS
  x1  a 600 MHz/14.1 T solid-state NMR spectrometer
  x1  a 9.4-T instrument
  x1  a custom-built 9.4 T FT-ICR mass spectrometer
  x1  accelerator mass spectrometry (AMS) facility at the National Ocean Sciences accelerator mass spectrometer (NOSAMS)
  x1  Acros-EOP ICP/AES
  x1  Acustom-built FT-ICR
  x1  Advion BioSystems Nanomate
  x1  Agilent 1100 HPLC system
  x1  Agilent 5973 mass spectrometer
  x1  Agilent 6560c
  x1  Agilent 6890N gas chromatograph
  x1  Agilent 7700 Series ICP MS
  x1  Agilent 7890
  x1  Agilent 7890 A Gas Chromatograph
  x1  Agilent 8453 UV-visible spectroscopy system
  x1  Agilent 8900
  x1  Agilent GC6890N
  x1  Agilent Model 8453 photodiode array spectrophotometer
  x1  Agilent Technologies 1260 Infinity
  x1  Agilent triple quadrupole MS system
  x1  Alliance e2695 separation module
  x1  Alpkem RFA-300 autoanalyzer
  x1  Apex II Ultra FT-MS
  x1  APPI 9.4 Tesla FT-ICR MS
  x1  APPI Ion Max source (Thermo Fisher Scientific, Inc., San Jose, CA)
  x1  APPI Ion Max source (Thermo-Fisher Scientific)
  x1  APPISource
  x1  Aqualog
  x1  Aurora 1030 W TOC Analyzer
  x1  Aurora 1030C
  x1  autoanalyzer (AA3; Bran and Luebbe)
  x1  Automated Nitrogen Carbon Analyzer, SerCon
  x1  Autosal salinometer
  x1  AVIV 202SF circular dichroism spectrometer
  x1  AVIV 410 CD spectrometer
  x1  Axio Imager M2 (Zeiss)
  x1  Ä KTA Puri fi er high-performance liquid chromatography (HPLC) instrument
  x1  BEC 1 reactor
  x1  Beckman model J2-21
  x1  Beckman Optima XL-I
  x1  bioinert Ultimate RSLCnano 3000 LC system
  x1  Bruker
  x1  Bruker 12 T solariX XR FTMS
  x1  Bruker Apex Ultra
  x1  Bruker AVANCE
  x1  Bruker Avance
  x1  Bruker AVANCE 400 MHz
  x1  Bruker Avance III 600 MHz
  x1  Bruker BioSpin Avance III 400 MHz WB
  x1  Bruker BioSpin Avance III 500 MHz NMR spectrometer
  x1  Bruker Compass Dataanalysis
  x1  Bruker Daltonics 10 Tesla Apex Qe
  x1  Bruker GC-APCI II
  x1  Bruker Microflex LRF
  x1  Bruker Neo Avance 400
  x1  Bruker SolariX FT -ICR MS
  x1  Bruker Ultra fl eXtreme
  x1  Bruker Ultraflextreme MALDI-TOF
  x1  C1000 Touch Thermocycler
  x1  Canadian Light Source spherical grating monochromator (SGM) beamline
  x1  Cary 100 Bio UV-Visible Spectrophotometer
  x1  Cary Eclipse spectrofluorometer
  x1  Cary Varian 100 dual beam UV/Vis spectrometer
  x1  CEOS
  x1  CFP unit
  x1  CFX Connect ™ Real-Time PCR Detection System
  x1  Chip-TOF mass spectrometer
  x1  Chriascan CD spectrometer
  x1  commercial 3 T FT-ICR
  x1  controlled growth mercury electrode
  x1  CPA
  x1  custom build 21 T FT-ICR-MS
  x1  custom built 9.4 T FT-ICR mass spectrometer
  x1  custom built 9.4 T FTICR mass spectrometer
  x1  custom built 9.4 Tesla FT-ICR MS
  x1  custom built 9.4-T FT-ICR MS (Oxford Corp.)
  x1  custom hybrid dual-cell linear radiofrequency (RF) ion trap 21 T Fourier transform-ion cyclotron resonance mass spectrometer (FT-ICR MS)
  x1  custom-built 14.5 T FTICR mass spectrometer
  x1  custom-built 21 T Fourier transform ion cyclotron resonance mass spectrometer
  x1  custom-built 21 T FT-ICR MS
  x1  custom-built 21 T FTICR
  x1  custom-built 21 T hybrid ion-trap FTICR mass spectrometer
  x1  custom-built 21-tesla Fourier-transform ion cyclotron resonance mass spectrometer
  x1  custom-built 21-tesla FT-ICR mass spectrometer
  x1  custom-built 21T FT-ICR MS
  x1  custom-built 9.4 T 22 cm horizontal room temperature bore diameter FT-ICR mass spectrometer
  x1  custom-built 9.4 T and 21T FT-ICR MS
  x1  custom-built 9.4 T ESI FT-ICR mass spectrometer
  x1  custom-built 9.4 T Fourier transform ion cyclotron mass spectrometer (FT-ICR MS)
  x1  custom-built 9.4 T Fourier transform ion cyclotron resonance
  x1  custom-built 9.4 T FT-ICR
  x1  custom-built 9.4 tesla FT-ICR mass spectrometer
  x1  custom-built 9.4 Tesla FT-ICR mass spectrometer
  x1  custom-built 9.4 Tesla FT-ICR MS
  x1  custom-built 9.4 tesla FT-ICR MS
  x1  custom-built 9.4-T FT-ICR mass spectrometer
  x1  custom-built 9.4 T FT-ICR mass spectrometer
  x1  custom-built FT-ICR-MS
  x1  custom-built FT-ICRMS
  x1  custom-built hybrid dual ion-trap 21 T FT-ICR mass spectrometer
  x1  custom-built hybrid linear ion trap 21-T ESI FT-ICR mass spectrometer
  x1  custom-built hybrid linear ion trap 9.4-T FT-ICR mass spectrometer
  x1  custom-built hybrid linear ion trap 9.4-T FT-ICR MS
  x1  custom-built hybrid linear ion trap Fourier transform ion cyclotron resonance mass spectrometer
  x1  custom-built hybrid linear ion trap FT ICR mass spectrometer
  x1  custom-built hybrid linear ion trap/21 T FT-ICR mass spectrometer
  x1  custom-built hybrid linear trap quadrupole 14.5-Tesla FT-ICR mass spectrometer
  x1  custom-built hybrid Velos Pro 14.5 T FT-ICR
  x1  custom-built mass spectrometer
  x1  custom-built passively shielded 9.4 T FT-ICR mass spectrometer
  x1  custom-built passively shielded 9.4T FT-ICR mass spectrometer
  x1  custom-built ultrahighresolution 9.4 T FT-ICR mass spectrometer
  x1  custom-built Velos Pro
  x1  custom-built Velos Pro 14.5 T FT-ICR mass spectrometer
  x1  custom-built Velso Pro (Thermo Scientific) 21 T FT-ICR mass spectrometer
  x1  custom-built, hybrid linear ion trap / FT-ICR mass spectrometer
  x1  custom-designed 21 T FT-ICR MS
  x1  custom-designed 21T FT-ICR
  x1  custom-made purge-and-trap system
  x1  custombuilt FT-ICR mass spectrometer
  x1  custombuilt hybrid linear ion trap/FT-ICR MS
  x1  customized hybrid linear quadrupole ion trap/FT-ICR MS (LTQ-FT)
  x1  CyAn Flow Cytometer
  x1  Delta V Advantage Isotope Ratio Mass Spectrometer
  x1  Delta V IRMS
  x1  Deltatox II photometer
  x1  denaturing gradient gel electrophoresis (DGGE) gel
  x1  DIB-s4PT
  x1  Dionex Aquion Ion Chromatography System
  x1  Dionex Aquion ion chromatography system
  x1  Dionex DX 500
  x1  Dionex High-Performance Liquid Chromatography system
  x1  Dionex ICS-1100
  x1  Dionex ICS-5000+ capillary HPLC system
  x1  Dionex Ion Chromatography System
  x1  Dionex Series 3000 Ion Chromatography System
  x1  Dionex Ultimate 3000 HPLC
  x1  Dionex Ultimate 3000 LC system
  x1  Dionex UltiMate 3000 Rapid Separation nanoLC
  x1  Dionex UltiMate 3000 × 2 Dual Analytical System
  x1  Direct Inlet Probe-High-Resolution Time-of-Flight Mass Spectrometer
  x1  Direct Insertion Probe-Mass Spectrometer
  x1  DLK Micro-Pstat-1
  x1  DOC-LABOR LC-OCD size-exclusion chromatography system
  x1  DOC-LABOR LC-OCD sizeexclusion chromatography system
  x1  double beam spectrophotometer
  x1  double-focusing sector field inductively coupled plasma mass spectrometer (Element XR, Thermo Fisher Scientific)
  x1  drEEM toolbox 22 for MATLAB
  x1  DRI Model 2015 Series 1 multiwavelength thermal-optical carbon analyzer (TOCA)
  x1  drop tensiometer
  x1  dual-beam Shimadzu UV-1800 spectrophotometer
  x1  dual-inlet isotope ratio mass spectrometer
  x1  dynamically harmonized ICR
  x1  electron spin resonance
  x1  electrospray ionization fourier transform ion cyclotron resonance mass spectrometry (ESI FT-ICR MS)
  x1  Element XR
  x1  Element XR Inductively Coupled Plasma Mass Spectrometer
  x1  elemental analyzer (Thermo Flash EA 1112)
  x1  eosense instruments
  x1  eosFD
  x1  Eppendorf Mastercycler pro S
  x1  ESCALAB250Xi
  x1  ESI FT-ICR mass spectrometer
  x1  ESI FT-ICR MS
  x1  ESI Negative Ion FT- ICR MS
  x1  ESI( -) FT-ICR MS-based
  x1  ESI-FT-ICR MS
  x1  ESI-FT-ICR-MS
  x1  ETD-FT-ICR
  x1  F-7000 fluorescence spectrometer
  x1  FE-SEM; Jeol JSM-6500F
  x1  FEI Talos F200X
  x1  FEI Titan Krios
  x1  FEI TM Tecnai F20
  x1  Finnigan DeltaPlus XP elemental analyzer
  x1  Finnigan MATDeltaplusXL
  x1  fl uorometer (AquaFlour model: 80000-010)
  x1  Flame Atomic Absorption Spectrometry (FAAS)
  x1  FLASH 2000
  x1  Flash EA
  x1  Flash EA1112 analyzer
  x1  Flash SMART analyzer
  x1  fluidized bed reactor
  x1  Fluoromax-4 spectrofluorometer
  x1  Fourier -Transform Ion Cyclotron Resonance Mass Spectrometry (FT-ICR MS)
  x1  Fourier Ion Cyclotron Resonance Mass Spectrometer
  x1  Fourier transform ion cyclotron resolution mass spectrometry (FT-ICR MS)
  x1  Fourier transform ion cyclotron resonance
  x1  Fourier Transform Ion Cyclotron Resonance mass spectrometer
  x1  Fourier transform ion cyclotron resonance mass spectrometers
  x1  Fourier-transform (FT) mass spectrometer
  x1  Fourier-transform ion cyclotron resonance mass spectrometer
  x1  Fourier-transform ion cyclotron resonance Mass Spectrometer (FT-ICR-MS)
  x1  Fourier-transform ion cyclotron resonance Mass Spectrometer (FT-ICRMS)
  x1  Fourier-Transform Ion-Cyclotron-Resonance Mass Spectrometry (FT-ICR MS)
  x1  freeze dryer
  x1  FreeZone 12 L console tray dryer
  x1  FS5 spectrofluorometer
  x1  FT-ICR mass analyzer
  x1  FT-ICR MS 40
  x1  FT-ICR MS instrument
  x1  FT-ICR Solarix XR
  x1  FT-ICRMS
  x1  FTICR
  x1  FTICRMS
  x1  FTIR
  x1  FTMS (Q Exactive HF, Thermo Scienti fi c)
  x1  Fusion Lumos
  x1  gas chromatograph
  x1  gas chromatograph-mass spectrometer (GC-MS)
  x1  gas chromatography/atmospheric pressure chemical ionization mass spectrometer (GC/APCI-MS)
  x1  GC × GC EI-HRToF MS
  x1  GC × GC-TOFMS from LECO (USA)
  x1  GC-FID
  x1  GC/APCI-MS/MS
  x1  GCxGC/TOF-MS
  x1  GE Sievers 900 Portable Total Organic Carbon Analyzer
  x1  GE Sievers M9 TOC analyzer
  x1  gel permeation chromatography inductively coupled plasma high-resolution mass spectrometry (GPCICP-HRMS)
  x1  Genesys 10 s Series Spectrophotometer
  x1  Genesys 20-Thermo scientific
  x1  Global Explorer ROV
  x1  GPC columns
  x1  GPC-ICP-HRMS
  x1  graphite electrode arc process
  x1  Hach DR6000 UV Vis spectrophotometer
  x1  handheld fluorometer MultiSpeQ V 2.0
  x1  headspace gas chromatography
  x1  high resolution Fourier transform ion cyclo- tron resonance (FT-ICR) mass spectrometer
  x1  high resolution Fouriertransform ion cyclotron resonance mass spectrometry
